"DateTime","NIFTY 50"
"1998-01-19 00:00:00",1017.25
"1998-01-20 00:00:00",1011.45
"1998-01-21 00:00:00",1012.4
"1998-01-22 00:00:00",992.35
"1998-01-23 00:00:00",986.8
"1998-01-27 00:00:00",963.3
"1998-01-28 00:00:00",944.8
"1998-01-29 00:00:00",941.35
"1998-01-30 00:00:00",963.45
"1998-02-02 00:00:00",976.6
"1998-02-03 00:00:00",975.25
"1998-02-04 00:00:00",967.95
"1998-02-05 00:00:00",976.1
"1998-02-06 00:00:00",977.65
"1998-02-09 00:00:00",976.1
"1998-02-10 00:00:00",963.7
"1998-02-11 00:00:00",958.9
"1998-02-12 00:00:00",956.65
"1998-02-13 00:00:00",974.55
"1998-02-17 00:00:00",991.7
"1998-02-18 00:00:00",988.85
"1998-02-19 00:00:00",997.55
"1998-02-20 00:00:00",993.65
"1998-02-23 00:00:00",1009.6
"1998-02-24 00:00:00",1014.1
"1998-02-25 00:00:00",1036.05
"1998-02-26 00:00:00",1045.8
"1998-02-27 00:00:00",1060.75
"1998-03-02 00:00:00",1098.2
"1998-03-03 00:00:00",1063.5
"1998-03-04 00:00:00",1092.35
"1998-03-05 00:00:00",1083.35
"1998-03-06 00:00:00",1081.45
"1998-03-09 00:00:00",1099.5
"1998-03-10 00:00:00",1086.05
"1998-03-11 00:00:00",1083
"1998-03-12 00:00:00",1077.5
"1998-03-16 00:00:00",1090.45
"1998-03-17 00:00:00",1083.3
"1998-03-18 00:00:00",1103.35
"1998-03-19 00:00:00",1105.8
"1998-03-20 00:00:00",1109.6
"1998-03-23 00:00:00",1124.1
"1998-03-24 00:00:00",1120.85
"1998-03-25 00:00:00",1146.95
"1998-03-26 00:00:00",1129.5
"1998-03-27 00:00:00",1140.35
"1998-03-30 00:00:00",1124.85
"1998-03-31 00:00:00",1116.9
"1998-04-01 00:00:00",1150.1
"1998-04-02 00:00:00",1157.4
"1998-04-03 00:00:00",1173.45
"1998-04-06 00:00:00",1187.1
"1998-04-07 00:00:00",1187.8
"1998-04-09 00:00:00",1209.6
"1998-04-10 00:00:00",1192.4
"1998-04-13 00:00:00",1159.45
"1998-04-15 00:00:00",1206.3
"1998-04-16 00:00:00",1197.05
"1998-04-17 00:00:00",1210
"1998-04-20 00:00:00",1207.15
"1998-04-21 00:00:00",1212.75
"1998-04-22 00:00:00",1210.8
"1998-04-23 00:00:00",1182.1
"1998-04-24 00:00:00",1173.8
"1998-04-27 00:00:00",1164.35
"1998-04-28 00:00:00",1146.8
"1998-04-29 00:00:00",1151.1
"1998-04-30 00:00:00",1159.35
"1998-05-04 00:00:00",1185.15
"1998-05-05 00:00:00",1188.1
"1998-05-06 00:00:00",1172.45
"1998-05-08 00:00:00",1161.55
"1998-05-11 00:00:00",1160.3
"1998-05-12 00:00:00",1132.25
"1998-05-13 00:00:00",1094.1
"1998-05-14 00:00:00",1118.65
"1998-05-15 00:00:00",1110.1
"1998-05-18 00:00:00",1119.8
"1998-05-19 00:00:00",1121.75
"1998-05-20 00:00:00",1141.3
"1998-05-21 00:00:00",1126.15
"1998-05-22 00:00:00",1126.55
"1998-05-25 00:00:00",1122.95
"1998-05-26 00:00:00",1104.45
"1998-05-27 00:00:00",1090.95
"1998-05-28 00:00:00",1075.55
"1998-05-29 00:00:00",1063.15
"1998-06-01 00:00:00",1053.75
"1998-06-02 00:00:00",1019.6
"1998-06-03 00:00:00",1033.9
"1998-06-04 00:00:00",1027
"1998-06-05 00:00:00",993.5
"1998-06-08 00:00:00",968.6
"1998-06-09 00:00:00",995.05
"1998-06-10 00:00:00",962.9
"1998-06-11 00:00:00",961.35
"1998-06-12 00:00:00",971.15
"1998-06-15 00:00:00",916.8
"1998-06-16 00:00:00",910.1
"1998-06-17 00:00:00",976.5
"1998-06-18 00:00:00",956.15
"1998-06-19 00:00:00",913.25
"1998-06-22 00:00:00",880.2
"1998-06-23 00:00:00",875.6
"1998-06-24 00:00:00",908.5
"1998-06-25 00:00:00",932.15
"1998-06-26 00:00:00",924.35
"1998-06-29 00:00:00",949.1
"1998-06-30 00:00:00",941.65
"1998-07-01 00:00:00",942.25
"1998-07-02 00:00:00",919.9
"1998-07-03 00:00:00",900.55
